loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_fn/mean,rewards/reward_fn/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,step_time,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
-0.009525513648986817,4.53125,4.966666666666667e-06,7484.0,54.7,49.4,58.6,0.0,54.7,49.4,58.6,0.8235700130462646,0.024652195908129216,0.8235700130462646,0.02465219460427761,0.2,0.0040148474913495715,0.04127825321629643,0.0,0.0,0.0,0.0,0.0,8.002948075599965,0.047619047619047616,5,,,,,
-0.013981099426746368,0.82421875,4.925e-06,14734.0,50.75,45.6,53.2,0.0,50.75,45.6,53.2,0.8452000260353089,0.026734478957951068,0.8452000260353089,0.026734481565654278,0.1,0.40056759394708763,0.03417640635743737,0.0,0.0,0.0,0.0,0.0,7.511175461399989,0.09523809523809523,10,,,,,
-0.04791682958602905,1.640625,4.883333333333334e-06,22234.0,54.3,47.4,72.6,0.0,54.3,47.4,72.6,0.8418150067329406,0.022059476375579833,0.8418150067329406,0.022059481590986252,0.0,0.3611758018149313,0.0638938071904704,0.0,0.0,0.0,0.0,0.0,9.41270477699993,0.14285714285714285,15,,,,,
0.014988976716995239,3.40625,4.841666666666667e-06,29649.0,54.375,50.2,59.6,0.0,54.375,50.2,59.6,0.8375024795532227,0.02859572656452656,0.8375024795532227,0.02859572134912014,0.0,0.29566908901215905,0.030085757886990906,0.0,0.0,0.0,0.0,0.0,8.139079862799964,0.19047619047619047,20,,,,,
0.004432898759841919,2.734375,4.800000000000001e-06,37042.0,53.825,48.0,61.0,0.0,53.825,48.0,61.0,0.8068650126457214,0.07611449789255857,0.8068650126457214,0.07611449267715216,0.0,0.032437307176443955,0.05674895797856152,0.0,0.0,0.0,0.0,0.0,8.292567962399994,0.23809523809523808,25,,,,,
-0.003934387862682342,3.203125,4.758333333333334e-06,44244.0,50.05,45.8,53.8,0.0,50.05,45.8,53.8,0.8159525156021118,0.08549549337476492,0.8159525156021118,0.08549548741430044,0.0,0.1318301863944174,0.03535789172165096,0.0,0.0,0.0,0.0,0.0,7.44496778039993,0.2857142857142857,30,,,,,
0.10022865533828736,5.1875,4.7166666666666675e-06,51696.0,58.3,49.0,99.6,0.0,58.3,49.0,99.6,0.8008799910545349,0.07651048246771097,0.8008799910545349,0.07651048917323351,0.0,0.048114088065449326,0.05365088852122426,0.0,0.0,0.0,0.0,0.0,12.160111891799989,0.3333333333333333,35,,,,,
0.013386133313179015,5.40625,4.675000000000001e-06,58822.0,51.15,47.4,56.4,0.0,51.15,47.4,56.4,0.810195016860962,0.08245964851230383,0.810195016860962,0.08245964692905546,0.0,0.031533564236627856,0.04225716879591346,0.0,0.0,0.0,0.0,0.0,7.824816735199829,0.38095238095238093,40,,,,,
0.0011892408132553101,0.55078125,4.633333333333334e-06,66088.0,51.65,48.2,55.4,0.0,51.65,48.2,55.4,0.792787492275238,0.1011115662753582,0.792787492275238,0.10111156776547432,0.1,0.07455153739760156,0.03301226012408733,0.0,0.0,0.0,0.0,0.0,7.646715562599911,0.42857142857142855,45,,,,,
0.00047956109046936034,1.25,4.591666666666667e-06,73472.0,54.1,50.4,57.0,0.0,54.1,50.4,57.0,0.8355875015258789,0.020638232864439488,0.8355875015258789,0.020638234727084637,0.0,0.08849754279756131,0.031977822445333,0.0,0.0,0.0,0.0,0.0,7.881563568999991,0.47619047619047616,50,,,,,
0.10117201805114746,2.75,4.5500000000000005e-06,81276.0,64.2,49.4,104.0,0.05,52.71666717529297,49.4,59.4,0.7643674969673157,0.14777424484491347,0.7643674969673157,0.1477742414921522,0.1,0.04156076988077757,0.09119333410635591,0.0,0.0,0.0,0.0,0.0,12.610651629199946,0.5238095238095238,55,,,,,
0.034148496389389035,1.0234375,4.508333333333333e-06,88767.0,57.075,49.2,75.8,0.0,57.075,49.2,75.8,0.7777999877929688,0.1559745766222477,0.7777999877929688,0.15597457326948644,0.0,0.04525425129840244,0.0445894165430218,0.0,0.0,0.0,0.0,0.0,9.857629130400074,0.5714285714285714,60,,,,,
-0.008719950914382935,0.357421875,4.4666666666666665e-06,95925.0,51.15,47.4,55.6,0.0,51.15,47.4,55.6,0.7926149845123291,0.13182328157126905,0.7926149845123291,0.1318232763558626,0.0,0.08863231434074806,0.025664791464805603,0.0,0.0,0.0,0.0,0.0,7.647055445400019,0.6190476190476191,65,,,,,
0.0007422775030136109,0.6875,4.425e-06,103327.0,51.95,46.6,57.0,0.0,51.95,46.6,57.0,0.8330124974250793,0.020832184143364428,0.8330124974250793,0.02083218116313219,0.2,0.056559265236545996,0.02337308379355818,0.0,0.0,0.0,0.0,0.0,7.833064675400055,0.6666666666666666,70,,,,,
0.004403135180473328,1.03125,4.383333333333334e-06,110792.0,52.025,48.0,57.0,0.0,52.025,48.0,57.0,0.7895074963569642,0.1318658795207739,0.7895074963569642,0.13186587803065777,0.0,0.13304185271878452,0.03395361066795886,0.0,0.0,0.0,0.0,0.0,7.796297896799979,0.7142857142857143,75,,,,,
0.004063937067985535,3.28125,4.341666666666667e-06,118062.0,52.75,47.8,57.6,0.0,52.75,47.8,57.6,0.8115124940872193,0.0725703696720302,0.8115124940872193,0.07257037004455924,0.1,0.15933399343536508,0.040884204069152476,0.0,0.0,0.0,0.0,0.0,7.811367863199939,0.7619047619047619,80,,,,,
0.00011831521987915039,0.77734375,4.3e-06,125448.0,52.45,48.8,56.2,0.0,52.45,48.8,56.2,0.8096200108528138,0.07139973565936089,0.8096200108528138,0.07139974040910602,0.1,0.06961842292532765,0.026507177483290435,0.0,0.0,0.0,0.0,0.0,7.738872624199985,0.8095238095238095,85,,,,,
0.038011714816093445,3.578125,4.258333333333334e-06,132834.0,54.45,49.4,66.6,0.0,54.45,49.4,66.6,0.7560550093650817,0.17213238403201103,0.7560550093650817,0.17213238924741744,0.0,0.07791953051925304,0.051581579027697444,0.0,0.0,0.0,0.0,0.0,8.738512391800032,0.8571428571428571,90,,,,,
0.0013899803161621094,3.453125,4.216666666666667e-06,140175.0,51.225,47.2,54.2,0.0,51.225,47.2,54.2,0.8100950002670289,0.08180479165166617,0.8100950002670289,0.08180479351431132,0.2,0.004470675394254187,0.04188189371488989,0.0,0.0,0.0,0.0,0.0,7.563192647599953,0.9047619047619048,95,,,,,
0.07435130476951599,2.09375,4.175e-06,147653.0,57.45,50.4,87.6,0.0,57.45,50.4,87.6,0.7793650031089783,0.1918153990060091,0.7793650031089783,0.19181540608406067,0.2,0.1503713010615016,0.11143538923934102,0.0,0.0,0.0,0.0,0.0,10.88328244340014,0.9523809523809523,100,,,,,
0.002885948121547699,2.4375,4.133333333333333e-06,154927.0,53.55,49.6,57.6,0.0,53.55,49.6,57.6,0.8115575194358826,0.0769837548956275,0.8115575194358826,0.07698375061154365,0.0,0.2555247375478757,0.03405571430921554,0.0,0.0,0.0,0.0,0.0,7.902195695599903,1.0,105,,,,,
0.0890810489654541,4.15625,4.091666666666667e-06,162486.0,57.875,49.0,96.4,0.0,57.875,49.0,96.4,0.8066849946975708,0.07582995668053627,0.8066849946975708,0.07582996375858783,0.0,0.13325352725596532,0.048019633069634436,0.0,0.0,0.0,0.0,0.0,11.813267921399984,1.0476190476190477,110,,,,,
-0.0038312986493110658,1.859375,4.05e-06,169638.0,53.0,48.4,57.0,0.0,53.0,48.4,57.0,0.8406224966049194,0.026380006596446036,0.8406224966049194,0.026380006596446036,0.1,0.06083308165962435,0.03914351752027869,0.0,0.0,0.0,0.0,0.0,7.714760636999836,1.0952380952380953,115,,,,,
-0.006825257837772369,0.2080078125,4.008333333333334e-06,176893.0,50.675,47.4,54.0,0.0,50.675,47.4,54.0,0.8176575064659118,0.0713898641988635,0.8176575064659118,0.07138986457139254,0.0,0.0685050734737274,0.028199437912553547,0.0,0.0,0.0,0.0,0.0,7.573269415400046,1.1428571428571428,120,,,,,
0.002959480881690979,1.171875,3.966666666666667e-06,184204.0,52.975,49.8,56.6,0.0,52.975,49.8,56.6,0.8239075064659118,0.06904083266854286,0.8239075064659118,0.06904082763940096,0.2,0.0218790462187484,0.02410709038376808,0.0,0.0,0.0,0.0,0.0,7.682309886999883,1.1904761904761905,125,,,,,
-0.01350853145122528,0.53515625,3.9250000000000005e-06,191513.0,54.025,50.0,59.4,0.0,54.025,50.0,59.4,0.8228300094604493,0.08236732967197895,0.8228300094604493,0.0823673315346241,0.1,0.05435675371142281,0.024596475600264966,0.0,0.0,0.0,0.0,0.0,8.109964211399847,1.2380952380952381,130,,,,,
-0.00041180849075317383,1.2578125,3.883333333333333e-06,198902.0,52.125,48.0,57.0,0.0,52.125,48.0,57.0,0.8338725090026855,0.02132666911929846,0.8338725090026855,0.02132667265832424,0.3,0.0723837627104806,0.024262334150262178,0.0,0.0,0.0,0.0,0.0,7.796065535799926,1.2857142857142856,135,,,,,
0.04918642342090607,0.2216796875,3.841666666666667e-06,206386.0,55.4,50.2,69.0,0.0,55.4,50.2,69.0,0.8223950028419494,0.07906001657247544,0.8223950028419494,0.0790600173175335,0.1,0.07228690592650792,0.032295932667329906,0.0,0.0,0.0,0.0,0.0,8.964953489200024,1.3333333333333333,140,,,,,
-0.008696550130844116,1.46875,3.8000000000000005e-06,213652.0,50.95,47.2,55.8,0.0,50.95,47.2,55.8,0.8411249995231629,0.02309741359204054,0.8411249995231629,0.02309740912169218,0.1,0.07478133259783135,0.060357332695275545,0.0,0.0,0.0,0.0,0.0,7.673189083799935,1.380952380952381,145,,,,,
0.01308874636888504,2.28125,3.758333333333334e-06,221058.0,52.55,47.2,57.0,0.0,52.55,47.2,57.0,0.8135475039482116,0.07229750733822585,0.8135475039482116,0.07229750845581293,0.1,0.042635323967840574,0.0363165371119976,0.0,0.0,0.0,0.0,0.0,7.801193305800188,1.4285714285714286,150,,,,,
-0.0021346867084503173,0.234375,3.716666666666667e-06,228430.0,52.5,49.6,56.6,0.0,52.5,49.6,56.6,0.8089874863624573,0.08292630724608899,0.8089874863624573,0.08292630761861801,0.1,0.07884441928746214,0.027421089564450087,0.0,0.0,0.0,0.0,0.0,7.9272033440000085,1.4761904761904763,155,,,,,
0.01648991256952286,3.515625,3.6750000000000004e-06,235816.0,52.95,46.6,59.6,0.0,52.95,46.6,59.6,0.7537649869918823,0.24825682491064072,0.7537649869918823,0.2482568107545376,0.1,0.20425015689160803,0.0329282701946795,0.0,0.0,0.0,0.0,0.0,8.129312529599975,1.5238095238095237,160,,,,,
-0.0055707678198814396,0.45703125,3.633333333333334e-06,243118.0,51.65,48.0,55.6,0.0,51.65,48.0,55.6,0.8410400032997132,0.019714560732245444,0.8410400032997132,0.01971455756574869,0.0,0.0897821594906361,0.02670781947672367,0.0,0.0,0.0,0.0,0.0,7.725536085000113,1.5714285714285714,165,,,,,
-0.003711065649986267,4.4375,3.5916666666666673e-06,250506.0,54.3,48.2,59.4,0.0,54.3,48.2,59.4,0.8358824849128723,0.024832480773329734,0.8358824849128723,0.02483247984200716,0.1,0.08655561246412162,0.033910623472183946,0.0,0.0,0.0,0.0,0.0,8.054260410599909,1.619047619047619,170,,,,,
-0.002113284170627594,0.302734375,3.5500000000000003e-06,257751.0,52.625,47.6,56.0,0.0,52.625,47.6,56.0,0.8196550130844116,0.07337766829878092,0.8196550130844116,0.07337767174467444,0.0,0.07294850399066491,0.06383172627538443,0.0,0.0,0.0,0.0,0.0,7.741123291400072,1.6666666666666665,175,,,,,
-0.008065935969352723,1.3984375,3.5083333333333338e-06,265088.0,53.525,47.6,58.0,0.0,53.525,47.6,58.0,0.8135074973106384,0.07934792563319207,0.8135074973106384,0.07934792265295983,0.0,0.01872775011017893,0.0328717821277678,0.0,0.0,0.0,0.0,0.0,8.024550815000385,1.7142857142857144,180,,,,,
-0.01094396561384201,1.6328125,3.4666666666666672e-06,272396.0,53.7,50.0,56.4,0.0,53.7,50.0,56.4,0.8216275095939636,0.0788992339745164,0.8216275095939636,0.0788992403075099,0.1,0.011591243088867031,0.039704929059371355,0.0,0.0,0.0,0.0,0.0,7.795790387599936,1.7619047619047619,185,,,,,
-0.0009430868551135064,0.003021240234375,3.4250000000000007e-06,279596.0,51.2,47.8,54.6,0.0,51.2,47.8,54.6,0.84808748960495,0.024220165424048902,0.84808748960495,0.024220163375139235,0.4,0.027730289252367157,0.024305202858522536,0.0,0.0,0.0,0.0,0.0,7.638225471799705,1.8095238095238095,190,,,,,
0.013099828362464904,0.7421875,3.3833333333333333e-06,287047.0,55.375,50.8,62.8,0.0,55.375,50.8,62.8,0.746714997291565,0.19736106730997563,0.746714997291565,0.19736105496995152,0.2,0.011537707412876052,0.050182027323171494,0.0,0.0,0.0,0.0,0.0,8.420201816400095,1.8571428571428572,195,,,,,
0.0035017941147089003,1.84375,3.341666666666667e-06,294465.0,53.75,49.4,58.6,0.0,53.75,49.4,58.6,0.8411275029182435,0.01891999803483486,0.8411275029182435,0.018919996451586485,0.1,0.05259650505955733,0.02691776156425476,0.0,0.0,0.0,0.0,0.0,8.034956133800005,1.9047619047619047,200,,,,,
0.0023537814617156983,1.6484375,3.3000000000000006e-06,301839.0,52.05,47.8,57.8,0.0,52.05,47.8,57.8,0.7948325157165528,0.09963459894061089,0.7948325157165528,0.0996345929801464,0.1,0.04214729044556549,0.025252800108864902,0.0,0.0,0.0,0.0,0.0,8.061570319800012,1.9523809523809523,205,,,,,
0.011414895206689835,2.359375,3.258333333333333e-06,309233.0,52.75,49.2,56.6,0.0,52.75,49.2,56.6,0.7673099875450134,0.18488022834062576,0.7673099875450134,0.18488020338118077,0.1,0.1146731872858254,0.034723355900496244,0.0,0.0,0.0,0.0,0.0,7.853896286400049,2.0,210,,,,,
0.10806245803833008,3.234375,3.2166666666666666e-06,316752.0,58.875,50.4,101.6,0.025,53.18571472167969,50.4,56.8,0.7837575078010559,0.12959711328148843,0.7837575078010559,0.12959710955619813,0.0,0.09569008018511341,0.04798885320778936,0.0,0.0,0.0,0.0,0.0,12.389445993199933,2.0476190476190474,215,,,,,
0.0013189129531383514,0.2177734375,3.175e-06,324141.0,51.825,47.8,56.4,0.0,51.825,47.8,56.4,0.824512493610382,0.08056620676070451,0.824512493610382,0.08056619744747877,0.1,0.005095678962334205,0.02538013206794858,0.0,0.0,0.0,0.0,0.0,7.787010628599728,2.0952380952380953,220,,,,,
-0.0032867029309272765,0.8671875,3.133333333333334e-06,331410.0,52.125,48.0,56.6,0.0,52.125,48.0,56.6,0.8293999910354615,0.07424384970217943,0.8293999910354615,0.07424385119229555,0.0,0.00499201691163762,0.03641964420676232,0.0,0.0,0.0,0.0,0.0,7.792078632399989,2.142857142857143,225,,,,,
-0.004101692885160446,3.140625,3.0916666666666666e-06,338867.0,53.625,49.8,57.6,0.0,53.625,49.8,57.6,0.8409300088882447,0.017007897049188613,0.8409300088882447,0.01700789723545313,0.1,0.006395446142460059,0.046075665345415476,0.0,0.0,0.0,0.0,0.0,7.915994342400154,2.1904761904761907,230,,,,,
-0.005069021508097649,0.94140625,3.05e-06,345994.0,52.175,48.4,57.2,0.0,52.175,48.4,57.2,0.83885498046875,0.019528107717633247,0.83885498046875,0.01952810976654291,0.1,0.0375422683710097,0.033518364373594525,0.0,0.0,0.0,0.0,0.0,7.951245595199907,2.238095238095238,235,,,,,
-0.020651012659072876,0.31640625,3.0083333333333335e-06,353345.0,52.175,48.4,57.4,0.0,52.175,48.4,57.4,0.832479989528656,0.01710100956261158,0.832479989528656,0.017101006396114827,0.1,0.009191676283421657,0.023810909129679203,0.0,0.0,0.0,0.0,0.0,7.927490784399742,2.2857142857142856,240,,,,,
0.01125391125679016,0.8359375,2.9666666666666673e-06,360663.0,52.95,48.6,56.6,0.0,52.95,48.6,56.6,0.8125599980354309,0.07363150250166654,0.8125599980354309,0.07363149654120207,0.1,0.07557290344993817,0.03809744659811258,0.0,0.0,0.0,0.0,0.0,7.829598541000268,2.3333333333333335,245,,,,,
0.0058507204055786135,1.328125,2.925e-06,367973.0,52.05,47.2,56.4,0.0,52.05,47.2,56.4,0.841195011138916,0.020142973586916923,0.841195011138916,0.02014297414571047,0.3,0.05542548150045974,0.030590343475341796,0.0,0.0,0.0,0.0,0.0,7.935541391199877,2.380952380952381,250,,,,,
0.07013503909111023,0.5625,2.8833333333333334e-06,375557.0,60.6,46.6,101.8,0.025,55.225,46.6,70.0,0.7988475084304809,0.09575461009517312,0.7988475084304809,0.09575460758060217,0.1,0.07140186940878834,0.04173429664224386,0.0,0.0,0.0,0.0,0.0,12.159106245400016,2.4285714285714284,255,,,,,
0.016727736592292784,0.173828125,2.841666666666667e-06,382864.0,51.775,48.0,56.6,0.0,51.775,48.0,56.6,0.8477049946784974,0.019949313532561064,0.8477049946784974,0.019949316512793303,0.1,0.06351104607510934,0.024730529636144638,0.0,0.0,0.0,0.0,0.0,7.851893801800179,2.4761904761904763,260,,,,,
-0.008596594631671905,0.94921875,2.8000000000000003e-06,390377.0,54.025,50.4,57.6,0.0,54.025,50.4,57.6,0.8319000124931335,0.018819513358175756,0.8319000124931335,0.018819512985646724,0.2,0.07892625327436917,0.03317733984440565,0.0,0.0,0.0,0.0,0.0,7.974920196200037,2.5238095238095237,265,,,,,
-0.0041210949420928955,0.71484375,2.7583333333333333e-06,397649.0,51.9,48.6,55.0,0.0,51.9,48.6,55.0,0.783050000667572,0.18865508995950223,0.783050000667572,0.18865508399903774,0.2,0.022904750488009995,0.023063980974256992,0.0,0.0,0.0,0.0,0.0,7.671164493799916,2.571428571428571,270,,,,,
-0.006233283877372741,0.357421875,2.7166666666666668e-06,404882.0,50.925,45.6,56.2,0.0,50.925,45.6,56.2,0.8160550117492675,0.07771311402320862,0.8160550117492675,0.07771311514079571,0.0,0.012885548709459727,0.025010501453652977,0.0,0.0,0.0,0.0,0.0,7.77469193579982,2.619047619047619,275,,,,,
0.00967072993516922,1.234375,2.6750000000000002e-06,412167.0,51.325,47.8,55.8,0.0,51.325,47.8,55.8,0.7983149886131287,0.13042714968323707,0.7983149886131287,0.13042715117335318,0.2,0.09472005624829763,0.025206428673118352,0.0,0.0,0.0,0.0,0.0,7.704142051399776,2.6666666666666665,280,,,,,
-0.006847935914993286,3.6875,2.6333333333333332e-06,419543.0,52.5,48.0,56.2,0.0,52.5,48.0,56.2,0.7987324833869934,0.12800759635865688,0.7987324833869934,0.12800758220255376,0.3,0.04310345793780783,0.02787856454961002,0.0,0.0,0.0,0.0,0.0,7.751326867000171,2.7142857142857144,285,,,,,
-0.0022462189197540285,2.40625,2.5916666666666667e-06,426959.0,52.0,48.2,56.0,0.0,52.0,48.2,56.0,0.7980650067329407,0.1348043542355299,0.7980650067329407,0.13480434902012348,0.1,0.011319268952547645,0.03276716843247414,0.0,0.0,0.0,0.0,0.0,7.7641288818000245,2.761904761904762,290,,,,,
0.0034458480775356294,0.2109375,2.55e-06,434137.0,51.15,48.2,56.0,0.0,51.15,48.2,56.0,0.8411299824714661,0.020614152122288943,0.8411299824714661,0.020614155381917954,0.0,0.08221894466930735,0.03203570274636149,0.0,0.0,0.0,0.0,0.0,7.792937661999713,2.8095238095238093,295,,,,,
0.011185148358345031,1.578125,2.5083333333333336e-06,441420.0,53.375,48.2,57.6,0.0,53.375,48.2,57.6,0.8242899894714355,0.07809866964817047,0.8242899894714355,0.07809866443276406,0.2,0.012457276123990368,0.031249975506216287,0.0,0.0,0.0,0.0,0.0,7.9944032634,2.857142857142857,300,,,,,
0.0033129572868347166,0.609375,2.466666666666667e-06,448950.0,55.85,50.4,59.8,0.0,55.85,50.4,59.8,0.7733325004577637,0.14677610816434025,0.7733325004577637,0.1467760879546404,0.1,0.008673078158608405,0.03791394275613129,0.0,0.0,0.0,0.0,0.0,8.155449826799849,2.9047619047619047,305,,,,,
-0.012175729870796204,0.353515625,2.425e-06,456244.0,53.65,46.6,59.0,0.0,53.65,46.6,59.0,0.8441350102424622,0.02314331252127886,0.8441350102424622,0.02314331419765949,0.1,0.013892278858619989,0.0279114646371454,0.0,0.0,0.0,0.0,0.0,8.262366819599993,2.9523809523809526,310,,,,,
0.05043984055519104,1.0078125,2.3833333333333335e-06,463677.0,54.525,49.6,70.4,0.0,54.525,49.6,70.4,0.7900100231170655,0.13719691522419453,0.7900100231170655,0.13719691876322032,0.0,0.040858950329447905,0.040882050152868034,0.0,0.0,0.0,0.0,0.0,9.39457688120019,3.0,315,,,,,
-0.016135981678962706,2.1875,2.341666666666667e-06,471080.0,53.575,48.6,57.6,0.0,53.575,48.6,57.6,0.8344100117683411,0.018404016830027105,0.8344100117683411,0.018404019251465797,0.1,0.06672072041715182,0.029738822113722564,0.0,0.0,0.0,0.0,0.0,8.202200629799972,3.0476190476190474,320,,,,,
0.002059367299079895,1.4765625,2.3000000000000004e-06,478581.0,52.725,48.6,56.4,0.0,52.725,48.6,56.4,0.829099977016449,0.019608373753726482,0.829099977016449,0.019608373939990997,0.1,0.09027027816059814,0.031673414958640934,0.0,0.0,0.0,0.0,0.0,7.840298556200014,3.0952380952380953,325,,,,,
0.030791741609573365,1.0546875,2.2583333333333335e-06,485756.0,53.875,47.8,69.6,0.0,53.875,47.8,69.6,0.8156675219535827,0.08085990734398366,0.8156675219535827,0.08085990808904171,0.1,0.09122275807471851,0.03278479645960033,0.0,0.0,0.0,0.0,0.0,9.026392569199924,3.142857142857143,330,,,,,
-0.014631788432598113,1.7734375,2.216666666666667e-06,493067.0,51.775,49.0,56.4,0.0,51.775,49.0,56.4,0.8472724795341492,0.02639226205646992,0.8472724795341492,0.02639226205646992,0.0,0.12458448810139089,0.036181453987956046,0.0,0.0,0.0,0.0,0.0,7.8148376203997945,3.1904761904761907,335,,,,,
-0.015148469805717468,0.427734375,2.1750000000000004e-06,500317.0,52.85,47.8,56.2,0.0,52.85,47.8,56.2,0.8446874976158142,0.016190579812973737,0.8446874976158142,0.016190573666244747,0.0,0.006566917964987695,0.025924610905349255,0.0,0.0,0.0,0.0,0.0,7.879880657199647,3.238095238095238,340,,,,,
0.010402825474739075,0.8671875,2.133333333333334e-06,507569.0,53.2,48.6,56.8,0.0,53.2,48.6,56.8,0.8457949995994568,0.01857820488512516,0.8457949995994568,0.018578209355473517,0.3,0.008534647506547088,0.023572565615177156,0.0,0.0,0.0,0.0,0.0,7.874820491999708,3.2857142857142856,345,,,,,
